Cast Vote Record,Precinct,Ballot Style,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2,Rep. to Congress 5th Choice District 2
9724,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9725,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9726,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9727,Brewer W1,CAN Ballot Style 60,undervote,undervote,undervote,undervote,undervote
9728,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9729,Brewer W1,CAN Ballot Style 61,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9730,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9732,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce"
9736,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9737,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9738,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.",undervote,undervote
9739,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9742,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9743,Brewer W1,CAN Ballot Style 60,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
9744,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
9749,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9753,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9755,Brewer W1,CAN Ballot Style 60,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9757,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
9761,Brewer W1,CAN Ballot Style 60,undervote,undervote,undervote,undervote,undervote
9763,Brewer W1,CAN Ballot Style 61,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9764,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
9768,Brewer W1,CAN Ballot Style 60,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,undervote
9769,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9770,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9771,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9772,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9773,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9774,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9775,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
9777,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9782,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9783,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9784,Brewer W1,CAN Ballot Style 60,"Hoar, William R.S.",undervote,undervote,undervote,undervote
9787,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9789,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
9791,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
9793,Brewer W1,CAN Ballot Style 61,"Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
9795,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9798,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9799,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9800,Brewer W1,CAN Ballot Style 61,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
9803,Brewer W1,CAN Ballot Style 60,undervote,undervote,undervote,undervote,undervote
9804,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9805,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9807,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","DEM Golden, Jared F.",undervote,"Hoar, William R.S."
9808,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9810,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9811,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L.",undervote
9814,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9817,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9818,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9819,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
9821,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9824,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9825,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
9826,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9827,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote,"DEM Golden, Jared F."
9828,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
9830,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9831,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9833,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
9834,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9836,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9837,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
9839,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9840,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9844,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
9848,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9849,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9851,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9854,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce"
9855,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
9856,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9857,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9859,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9860,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9866,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9867,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9868,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9870,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9871,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9872,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9874,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9875,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9877,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote
9879,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9880,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9881,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote,undervote
9882,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9883,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9884,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9886,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,"Hoar, William R.S.",undervote,undervote
9887,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce",undervote,undervote,undervote
9888,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
9890,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9891,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9893,Brewer W1,CAN Ballot Style 61,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
9894,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9897,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9898,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote,"DEM Golden, Jared F."
9899,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9900,Brewer W1,CAN Ballot Style 61,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9902,Brewer W1,CAN Ballot Style 60,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
9903,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9905,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
9906,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9907,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9909,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
9910,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
9913,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9914,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9915,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L."
9916,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9919,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9920,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9922,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9923,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9925,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","REP Poliquin, Bruce",undervote,"REP Poliquin, Bruce"
9926,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9928,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9929,Brewer W1,CAN Ballot Style 60,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce",undervote
9931,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9932,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9933,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9937,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9938,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9939,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9940,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9941,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce",undervote,undervote,undervote
9942,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9945,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9946,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
9947,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9950,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9951,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9952,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
9954,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
9955,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9957,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
9958,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9960,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote,undervote
9961,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9962,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
9963,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9964,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.",undervote,undervote,undervote
9965,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9969,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9970,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
9973,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9976,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9979,Brewer W1,CAN Ballot Style 60,"Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote,undervote
9982,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
9984,Brewer W1,CAN Ballot Style 61,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9985,Brewer W1,CAN Ballot Style 60,undervote,undervote,undervote,undervote,undervote
9989,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9993,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
9994,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.",undervote,undervote,undervote
9995,Brewer W1,CAN Ballot Style 60,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
9996,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",overvote,"REP Poliquin, Bruce",undervote,undervote
9997,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
9999,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10000,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
10001,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10002,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote,"DEM Golden, Jared F."
10003,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
10004,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote
10007,Brewer W1,CAN Ballot Style 61,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10010,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
10012,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10014,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10015,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
10017,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote,undervote
10018,Brewer W1,CAN Ballot Style 60,undervote,undervote,undervote,undervote,undervote
10019,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10022,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F."
10025,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10026,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10027,Brewer W1,CAN Ballot Style 60,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
10029,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10032,Brewer W1,CAN Ballot Style 60,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L.",undervote
10035,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.",overvote,"Hoar, William R.S.",undervote
10039,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
10040,Brewer W1,CAN Ballot Style 60,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
10042,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10043,Brewer W1,CAN Ballot Style 60,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote,undervote
10047,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10050,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10053,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10054,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10055,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10056,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.",undervote,undervote,undervote
10057,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
10058,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
10059,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10060,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
10061,Brewer W1,CAN Ballot Style 60,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,undervote
10063,Brewer W1,CAN Ballot Style 61,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce",undervote
10066,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
10069,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10071,Brewer W1,CAN Ballot Style 61,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote,undervote
10072,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10073,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10075,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote,undervote
10079,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10080,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10082,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
10083,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10084,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10085,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10086,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10088,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10089,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
10091,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
10092,Brewer W1,CAN Ballot Style 60,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,"REP Poliquin, Bruce"
10095,Brewer W1,CAN Ballot Style 60,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
