Cast Vote Record,Precinct,Ballot Style,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2,Rep. to Congress 5th Choice District 2
3069,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
3070,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
3076,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
3078,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3079,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3081,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
3082,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
3083,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3086,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
3087,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3089,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3090,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
3091,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
3092,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce",undervote
3095,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3098,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote,undervote
3103,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce",undervote
3104,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3109,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote,undervote
3110,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3111,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
3112,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3116,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,"REP Poliquin, Bruce",undervote
3117,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
3119,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.",undervote
3120,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
3122,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote,undervote
3123,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote
3124,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3126,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
3129,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3130,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3132,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
3134,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3135,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3136,Blue Hill,CAN Ballot Style 53,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce",undervote
3138,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3140,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.","Bond, Tiffany L.","Bond, Tiffany L.","Bond, Tiffany L.","Bond, Tiffany L."
3146,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
3147,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3149,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
3150,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
3151,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3152,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
