Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
8690,378111,UOCAVA,"DEM Golden, Jared F.","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
8692,488611,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8694,371111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
8696,502211,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8698,39111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8700,132111,UOCAVA,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
8704,8112,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8706,402111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8710,425111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8712,600111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8714,401111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8716,41111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8718,384111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8720,401111,UOCAVA,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
8722,148111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
8724,130111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8726,510112,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8728,380111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
